id,theme,statement,I_statement,total,total_rating,Faith_and_Flag_Conservatives,Faith_and_Flag_Conservatives_rating,Committed_Conservatives,Committed_Conservatives_rating,Populist_Right,Populist_Right_rating,Ambivalent_Right,Ambivalent_Right_rating,Stressed_Sideliners,Stressed_Sideliners_rating,Outsider_Left,Outsider_Left_rating,Democratic_Mainstays,Democratic_Mainstays_rating,Establishment_Liberals,Establishment_Liberals_rating,Progressive_Left,Progressive_Left_rating
1,climate_and_energy,"Developing alternative sources, such as wind, solar and hydrogen technology should be the more important priority for addressing America’s energy supply",0,71,4,18,1,45,3,40,3,63,4,82,5,94,5,90,5,93,5,98,5
2,climate_and_energy,"Expanding exploration and production of oil, coal and natural gas should be the more important priority for addressing America’s energy supply",0,27,2,81,5,53,3,59,3,35,2,16,1,6,1,8,1,6,1,2,1
3,climate_and_energy,Government regulations are necessary to encourage businesses and consumers to rely more on renewable energy sources,0,58,3,12,1,31,2,26,2,41,3,62,4,79,4,79,4,87,5,94,5
4,climate_and_energy,"Human activity, such as the burning of fossil fuels, contributes a great deal to global climate change",0,44,3,3,1,16,1,13,1,25,2,43,3,69,4,67,4,72,4,88,5
5,climate_and_energy,"Human activity, such as the burning of fossil fuels, contributes some to global climate change",0,33,2,29,2,41,3,46,3,43,3,41,3,25,2,27,2,21,2,11,1
6,climate_and_energy,"Human activity, such as the burning of fossil fuels, does not contribute at all to global climate change",0,6,1,25,2,10,1,9,1,7,1,4,1,1,1,1,1,1,1,0,1
7,climate_and_energy,"Human activity, such as the burning of fossil fuels, does not contribute too much to global climate change",0,15,1,41,3,32,2,30,2,24,2,11,1,4,1,4,1,5,1,1,1
8,climate_and_energy,I favor allowing oil and gas drilling in the Arctic National Wildlife Refuge in Alaska,1,27,2,75,4,50,3,46,3,39,2,18,1,4,1,11,1,10,1,4,1
9,climate_and_energy,I favor phasing out the production of new gasoline cars and trucks by the year 2035,1,47,3,6,1,21,2,17,1,28,2,46,3,77,4,59,3,72,4,87,5
10,climate_and_energy,I oppose allowing oil and gas drilling in the Arctic National Wildlife Refuge in Alaska,1,70,4,22,2,47,3,51,3,58,3,80,5,93,5,88,5,87,5,96,5
11,climate_and_energy,I oppose phasing out the production of new gasoline cars and trucks by the year 2035,1,51,3,93,5,79,4,82,5,70,4,50,3,20,1,38,2,26,2,11,1
12,climate_and_energy,It was the right decision to cancel construction on the Keystone XL pipeline,0,49,3,2,1,10,1,13,1,30,2,48,3,78,4,71,4,83,5,95,5
13,climate_and_energy,It was the wrong decision to cancel construction on the Keystone XL pipeline,0,45,3,98,5,86,5,84,5,64,4,42,3,16,1,23,2,14,1,3,1
14,climate_and_energy,Major changes to everyday life will be needed to address the problems caused by global climate change,0,51,3,11,1,23,2,29,2,38,2,59,3,72,4,70,4,71,4,76,4
15,climate_and_energy,New technology will be able to address most of the problems caused by global climate change,0,46,3,83,5,74,4,67,4,58,3,39,2,27,2,28,2,28,2,24,2
16,climate_and_energy,"Reducing the effects of global climate change needs to be a lower priority with so many other important problems facing Americans today, even if that means more climate problems for future generations",0,34,2,87,5,64,4,69,4,47,3,25,2,10,1,12,1,9,1,4,1
17,climate_and_energy,"Reducing the effects of global climate change needs to be a top priority to ensure a sustainable planet for future generations, even if that means fewer resources for addressing other important problems today",0,64,4,11,1,34,2,28,2,51,3,73,4,87,5,87,5,90,5,96,5
18,climate_and_energy,Stricter environmental laws and regulations are worth the cost,0,56,3,7,1,24,2,21,2,36,2,58,3,84,5,76,4,88,5,96,5
19,climate_and_energy,Stricter environmental laws and regulations cost too many jobs and hurt the economy,0,41,3,92,5,74,4,77,4,62,4,38,2,14,1,21,2,11,1,4,1
20,climate_and_energy,"The private marketplace will ensure that businesses and consumers rely more on renewable energy sources, even without government regulation",0,39,2,86,5,67,4,72,4,57,3,34,2,19,1,18,1,11,1,5,1
21,climate_and_energy,"The U.S. should phase out the use of oil, coal and natural gas completely, relying instead on renewable energy sources such as wind and solar power only",0,33,2,3,1,9,1,10,1,21,2,28,2,59,3,42,3,51,3,78,4
22,climate_and_energy,"The U.S. should use a mix of energy sources including oil, coal and natural gas along with renewable energy sources",0,64,4,96,5,89,5,89,5,77,4,70,4,40,3,55,3,46,3,21,2
23,covid-19,I am not at all concerned that I might spread the coronavirus to other people without knowing that I have it,1,15,1,37,2,21,2,29,2,17,1,12,1,7,1,8,1,5,1,2,1
24,covid-19,I am not at all concerned that I will get the coronavirus and require hospitalization,1,19,1,39,2,30,2,31,2,28,2,12,1,14,1,8,1,7,1,11,1
25,covid-19,I am not too concerned that I might spread the coronavirus to other people without knowing that I have it,1,26,2,42,3,42,3,36,2,33,2,25,2,18,1,20,1,19,1,13,1
