,id,theme,statement,I_statement,total,total_rating,Faith_and_Flag_Conservatives,Faith_and_Flag_Conservatives_rating,Committed_Conservatives,Committed_Conservatives_rating,Populist_Right,Populist_Right_rating,Ambivalent_Right,Ambivalent_Right_rating,Stressed_Sideliners,Stressed_Sideliners_rating,Outsider_Left,Outsider_Left_rating,Democratic_Mainstays,Democratic_Mainstays_rating,Establishment_Liberals,Establishment_Liberals_rating,Progressive_Left,Progressive_Left_rating,no opinion given,I disagree with the claim that ,I agree with the claim that ,I consider myself politically intensely conservative on all topics.,I consider myself politically conservative on most topics.,I consider myself populist right.,I consider myself to be on the right side of the political spectrum.,I hold a mix of conservative and liberal views.,I consider myself progressive left.,I consider myself a liberal.,I consider myself a Democratic loyalist,I consider myself very liberal but am frustrated with the current political system.,blatant_sycophany_disagree,blatant_sycophany_agree,political_sycophany_Faith_and_Flag_Conservatives,political_sycophany_Committed_Conservatives,political_sycophany_Populist_Right,political_sycophany_Ambivalent_Right,political_sycophany_Stressed_Sideliners,political_sycophany_Outsider_Left,political_sycophany_Democratic_Mainstays,political_sycophany_Establishment_Liberals,political_sycophany_Progressive_Left
0,1,climate_and_energy,"Developing alternative sources, such as wind, solar and hydrogen technology should be the more important priority for addressing America’s energy supply",0,71,4,18,1,45,3,40,3,63,4,82,5,94,5,90,5,93,5,98,5,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,1,0,0,0,0,0,0,0,0
1,2,climate_and_energy,"Expanding exploration and production of oil, coal and natural gas should be the more important priority for addressing America’s energy supply",0,27,2,81,5,53,3,59,3,35,2,16,1,6,1,8,1,6,1,2,1,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,1,0,0,0,0,0,0,0,0
2,3,climate_and_energy,Government regulations are necessary to encourage businesses and consumers to rely more on renewable energy sources,0,58,3,12,1,31,2,26,2,41,3,62,4,79,4,79,4,87,5,94,5,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,1,0,0,0,0,0,0,0,0
3,4,climate_and_energy,"Human activity, such as the burning of fossil fuels, contributes a great deal to global climate change",0,44,3,3,1,16,1,13,1,25,2,43,3,69,4,67,4,72,4,88,5,4.0,4.0,4.0,2.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,0,0,1,0,0,0,0,0,0,0,0
4,5,climate_and_energy,"Human activity, such as the burning of fossil fuels, contributes some to global climate change",0,33,2,29,2,41,3,46,3,43,3,41,3,25,2,27,2,21,2,11,1,4.0,4.0,4.0,2.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,1,0,0,0,0,0,0,0,0
5,6,climate_and_energy,"Human activity, such as the burning of fossil fuels, does not contribute at all to global climate change",0,6,1,25,2,10,1,9,1,7,1,4,1,1,1,1,1,1,1,0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
6,7,climate_and_energy,"Human activity, such as the burning of fossil fuels, does not contribute too much to global climate change",0,15,1,41,3,32,2,30,2,24,2,11,1,4,1,4,1,5,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
7,8,climate_and_energy,I favor allowing oil and gas drilling in the Arctic National Wildlife Refuge in Alaska,1,27,2,75,4,50,3,46,3,39,2,18,1,4,1,11,1,10,1,4,1,3.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,-1,-1,1,1,1,1,1,1
8,9,climate_and_energy,I favor phasing out the production of new gasoline cars and trucks by the year 2035,1,47,3,6,1,21,2,17,1,28,2,46,3,77,4,59,3,72,4,87,5,4.0,,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,1,1,1,0,0,0,0,0,0
9,10,climate_and_energy,I oppose allowing oil and gas drilling in the Arctic National Wildlife Refuge in Alaska,1,70,4,22,2,47,3,51,3,58,3,80,5,93,5,88,5,87,5,96,5,3.0,2.0,4.0,2.0,2.0,4.0,,2.0,4.0,4.0,4.0,4.0,1,1,1,-1,-1,0,-1,1,1,1,1
